,city,state,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed
98,Jonesboro,AR,US,2023-03-02 01:27:55,35.8423,-90.7043,64.22,93,100,5.75
99,Appleton,WI,US,2023-03-02 01:27:17,44.2619,-88.4154,35.69,92,100,9.22
100,Gainesville,FL,US,2023-03-02 01:27:42,29.6516,-82.3248,73.9,71,0,6.91
101,New Iberia,LA,US,2023-03-02 01:27:43,30.0035,-91.8187,77.07,88,0,12.66
102,Clarksdale,MS,US,2023-03-02 01:28:58,34.2001,-90.5709,69.91,88,100,9.22
103,Washington,WA,US,2023-03-02 01:28:12,47.5001,-120.5015,38.34,43,100,3.4
104,Vineland,NJ,US,2023-03-02 01:28:59,39.4862,-75.0257,46.85,79,100,4.61
105,Copperas Cove,TX,US,2023-03-02 01:28:59,31.1241,-97.9031,76.33,74,75,0.0
106,Flagstaff,AZ,US,2023-03-02 01:28:59,35.1981,-111.6513,29.12,94,100,0.0
107,Chickasha,OK,US,2023-03-02 01:29:00,35.0526,-97.9364,58.14,50,0,3.44
108,Billings,MT,US,2023-03-02 01:26:53,45.7833,-108.5007,31.28,75,100,5.01
109,Madera,CA,US,2023-03-02 01:28:26,37.1666,-119.8343,50.09,93,39,9.24
110,Juneau,AK,US,2023-03-02 01:26:17,58.3019,-134.4197,35.6,97,100,27.63
111,Loveland,CO,US,2023-03-02 01:26:42,40.3978,-105.075,32.23,85,100,3.44
112,Del Rio,TX,US,2023-03-02 01:26:59,29.3627,-100.8968,86.11,15,0,9.22
113,Godfrey,IL,US,2023-03-02 01:26:08,38.9556,-90.1868,58.82,66,0,10.36
114,Carlsbad,CA,US,2023-03-02 01:26:15,33.1581,-117.3506,53.01,57,0,19.57
115,Utica,NY,US,2023-03-02 01:29:04,43.1009,-75.2327,35.64,83,93,3.0
116,Soddy-Daisy,TN,US,2023-03-02 01:29:05,35.2359,-85.1908,71.98,82,98,4.88
117,Citrus Park,FL,US,2023-03-02 01:29:05,28.0784,-82.5698,73.29,81,0,5.75
118,Painesville,OH,US,2023-03-02 01:26:30,41.7245,-81.2457,51.67,86,0,5.99
119,Rio Grande City,TX,US,2023-03-02 01:27:04,26.3798,-98.8203,80.11,40,100,14.97
120,Haverhill,MA,US,2023-03-02 01:26:10,42.7762,-71.0773,38.41,80,100,6.91
121,Mount Pleasant,SC,US,2023-03-02 01:29:08,32.7941,-79.8626,72.09,92,0,8.05
122,Grand Forks,ND,US,2023-03-02 01:25:44,47.9417,-97.4337,4.93,72,0,12.66
123,Winslow,AZ,US,2023-03-02 01:29:10,35.0242,-110.6974,42.98,56,100,18.41
124,Great Falls,MT,US,2023-03-02 01:28:54,47.5002,-111.3008,33.67,45,0,13.8
125,Raton,NM,US,2023-03-02 01:29:11,36.9034,-104.4391,41.61,33,0,13.8
126,Newton,MA,US,2023-03-02 01:26:07,42.337,-71.2092,38.05,74,100,12.66
127,Poquoson,VA,US,2023-03-02 01:29:12,37.1224,-76.3458,55.02,100,40,0.0
128,Lumberton,NC,US,2023-03-02 01:29:12,34.6182,-79.0086,71.6,56,0,4.61
129,Clifton,NJ,US,2023-03-02 01:29:13,40.8584,-74.1638,42.69,85,100,5.75
130,Watertown,MA,US,2023-03-02 01:25:45,42.3709,-71.1828,38.34,74,100,12.66
131,Batesville,AR,US,2023-03-02 01:29:14,35.7698,-91.641,63.01,97,100,6.91
132,Pecos,TX,US,2023-03-02 01:29:14,31.4229,-103.4932,70.86,21,100,4.61
133,Back Mountain,PA,US,2023-03-02 01:29:15,41.3359,-75.9963,41.65,82,100,6.82
134,Brandon,FL,US,2023-03-02 01:30:16,27.9378,-82.2859,73.63,78,0,1.01
135,Great Bend,KS,US,2023-03-02 01:27:34,38.3645,-98.7648,50.04,34,0,8.05
136,Price,UT,US,2023-03-02 01:30:17,39.5994,-110.8107,29.46,86,100,0.0
137,Lawrenceburg,KY,US,2023-03-02 01:26:23,38.0373,-84.8966,73.98,40,75,16.11
138,Winnemucca,NV,US,2023-03-02 01:28:52,40.973,-117.7357,32.05,51,0,19.57
139,Tarpon Springs,FL,US,2023-03-02 01:30:18,28.1461,-82.7568,73.35,80,0,1.99
140,Monterey,CA,US,2023-03-02 01:30:19,36.2505,-121.2516,47.17,13,42,14.23
141,Fairview,NJ,US,2023-03-02 01:30:19,40.8126,-73.999,42.21,86,100,10.0
142,Miramar,FL,US,2023-03-02 01:30:19,25.9873,-80.2323,77.02,69,0,5.75
143,Wichita Falls,TX,US,2023-03-02 01:29:32,33.9137,-98.4934,56.41,59,0,8.05
144,Texarkana,TX,US,2023-03-02 01:30:21,33.4251,-94.0477,73.62,82,100,3.44
145,Pierre,SD,US,2023-03-02 01:30:21,44.3683,-100.351,18.52,78,100,10.36
146,Martinsville,VA,US,2023-03-02 01:30:20,36.6915,-79.8725,55.35,84,0,0.0
147,Morgan City,LA,US,2023-03-02 01:30:23,29.6994,-91.2068,77.0,91,8,11.48
148,Show Low,AZ,US,2023-03-02 01:30:24,34.2542,-110.0298,36.09,81,100,18.41
149,Butte,CA,US,2023-03-02 01:30:25,39.6499,-121.5677,53.62,28,0,5.75
150,Stillwater,OK,US,2023-03-02 01:30:25,36.1156,-97.0584,55.56,38,0,6.91
151,Thibodaux,LA,US,2023-03-02 01:28:22,29.7958,-90.8229,76.98,86,11,7.0
152,Cutler,FL,US,2023-03-02 01:30:26,25.6151,-80.3106,75.99,72,0,6.91
153,Scottsbluff,NE,US,2023-03-02 01:30:26,41.8666,-103.6672,34.92,62,100,9.22
154,Hutchinson,KS,US,2023-03-02 01:25:37,38.0608,-97.9298,49.03,40,0,4.61
155,Twin Falls,ID,US,2023-03-02 01:30:27,42.3505,-114.6445,28.92,69,100,12.66
156,Tuskegee,AL,US,2023-03-02 01:30:27,32.424,-85.6916,74.25,100,88,3.0
157,San Angelo,TX,US,2023-03-02 01:25:51,31.4638,-100.437,62.82,42,0,5.75
158,Platteville,WI,US,2023-03-02 01:30:28,42.7342,-90.4785,37.96,80,75,23.02
159,Broken Arrow,OK,US,2023-03-02 01:30:28,36.0526,-95.7908,57.65,40,0,8.05
160,Glenwood Springs,CO,US,2023-03-02 01:30:29,39.5505,-107.3248,33.03,80,100,8.05
161,Pacifica,CA,US,2023-03-02 01:30:29,37.6138,-122.4869,55.08,65,40,20.71
162,Baraboo,WI,US,2023-03-02 01:31:30,43.4711,-89.7443,41.14,75,100,11.5
163,Pineville,LA,US,2023-03-02 01:28:05,31.3224,-92.4343,78.73,76,100,12.66
164,Estelle,LA,US,2023-03-02 01:31:32,29.8458,-90.1067,78.01,81,75,12.66
165,Dickson,TN,US,2023-03-02 01:31:33,36.077,-87.3878,70.45,93,100,8.05
166,Mastic Beach,NY,US,2023-03-02 01:31:34,40.7668,-72.8521,41.2,93,100,8.01
167,Ken Caryl,CO,US,2023-03-02 01:31:34,39.5773,-105.1169,31.64,73,100,7.0
168,Dickinson,TX,US,2023-03-02 01:27:11,29.4608,-95.0513,77.13,88,100,10.36
169,Rupert,ID,US,2023-03-02 01:28:31,42.6191,-113.6772,28.35,86,100,6.91
170,Edgewater,FL,US,2023-03-02 01:31:36,28.9889,-80.9023,76.17,88,20,9.22
171,Palm Beach Gardens,FL,US,2023-03-02 01:31:36,26.8234,-80.1386,76.98,77,20,8.05
172,Willmar,MN,US,2023-03-02 01:31:37,45.1219,-95.0433,24.82,74,100,11.5
173,Darien,IL,US,2023-03-02 01:31:37,41.752,-87.974,51.6,65,75,10.36
174,Rutland,VT,US,2023-03-02 01:31:38,43.6167,-73.0162,35.58,84,100,12.66
175,Babylon,NY,US,2023-03-02 01:31:39,40.6957,-73.3257,41.32,92,100,9.22
176,Merced,CA,US,2023-03-02 01:29:28,37.1666,-120.7516,52.03,55,32,20.49
177,Imperial,CA,US,2023-03-02 01:30:30,33.0334,-115.4175,53.82,42,71,18.3
178,Elko,NV,US,2023-03-02 01:31:39,41.0002,-115.5012,24.82,79,25,4.83
179,Batavia,IL,US,2023-03-02 01:29:45,41.85,-88.3126,51.78,65,0,9.22
180,Grants,NM,US,2023-03-02 01:31:40,35.1473,-107.8514,32.23,93,100,6.91
181,Ahuimanu,HI,US,2023-03-02 01:31:41,21.4447,-157.8378,78.51,75,100,21.85
182,Lexington,KY,US,2023-03-02 01:28:36,37.9887,-84.4777,73.4,46,75,16.11
183,Rawlins,WY,US,2023-03-02 01:31:42,41.7911,-107.2387,19.35,79,100,2.06
184,Sartell,MN,US,2023-03-02 01:27:13,45.6216,-94.2069,24.75,79,100,13.0
185,Hollins,VA,US,2023-03-02 01:31:42,37.3413,-79.9431,55.6,82,0,8.05
186,Kewanee,IL,US,2023-03-02 01:30:25,41.2456,-89.9248,49.8,62,41,9.42
187,Key Largo,FL,US,2023-03-02 01:29:17,25.0865,-80.4473,75.97,56,0,10.96
188,Beatrice,NE,US,2023-03-02 01:31:43,40.2681,-96.747,45.18,70,0,13.8
189,Waverly,MI,US,2023-03-02 01:29:12,42.7392,-84.6208,39.36,84,0,3.44
190,Virginia Beach,VA,US,2023-03-02 01:27:42,36.8529,-75.978,55.04,89,100,5.75
191,Elizabeth City,NC,US,2023-03-02 01:31:44,36.2946,-76.2511,62.62,86,100,0.0
192,Princeton,FL,US,2023-03-02 01:30:20,25.5384,-80.4089,76.01,74,0,4.61
193,Woodward,OK,US,2023-03-02 01:27:56,36.4337,-99.3904,47.97,38,0,6.91
194,Ruidoso,NM,US,2023-03-02 01:32:44,33.3317,-105.673,48.56,19,5,14.97
195,Patterson,CA,US,2023-03-02 01:32:44,37.4716,-121.1297,53.35,64,44,18.05
196,Port Hueneme,CA,US,2023-03-02 01:32:45,34.1478,-119.1951,53.98,42,20,12.66
197,Raymond,ME,US,2023-03-02 01:28:50,43.9015,-70.4703,35.28,79,100,4.47
198,Muskogee,OK,US,2023-03-02 01:32:46,35.5834,-95.3336,58.96,52,0,5.75
199,Jacksonville,FL,US,2023-03-02 01:32:47,30.3322,-81.6556,77.04,73,0,8.05
200,Blackfoot,ID,US,2023-03-02 01:32:17,43.1905,-112.345,28.06,97,80,4.81
201,Tooele,UT,US,2023-03-02 01:31:48,40.5308,-112.2983,33.13,86,100,6.91
202,Freeport,NY,US,2023-03-02 01:32:48,40.6576,-73.5832,42.96,88,100,9.22
203,Pueblo,CO,US,2023-03-02 01:32:48,38.2545,-104.6091,44.44,46,0,0.0
204,Bozeman,MT,US,2023-03-02 01:32:49,45.6796,-111.0386,27.82,71,0,3.44
205,Arcata,CA,US,2023-03-02 01:32:52,40.8665,-124.0828,47.19,74,0,11.5
206,Galesburg,IL,US,2023-03-02 01:32:53,40.9478,-90.3712,49.71,52,0,6.91
207,Madison,AL,US,2023-03-02 01:30:34,34.7334,-86.5667,70.34,85,100,7.0
208,Baker City,OR,US,2023-03-02 01:30:55,44.7749,-117.8344,30.6,66,0,10.36
209,Cadillac,MI,US,2023-03-02 01:32:54,44.2519,-85.4012,35.51,75,100,0.0
210,Eufaula,AL,US,2023-03-02 01:32:54,31.8913,-85.1455,75.24,65,0,5.75
211,Dover,DE,US,2023-03-02 01:30:13,39.1582,-75.5244,47.17,78,100,8.05
212,Dillon,SC,US,2023-03-02 01:32:55,34.4166,-79.3712,72.25,63,100,9.19
213,Goodlettsville,TN,US,2023-03-02 01:32:56,36.3231,-86.7133,71.98,87,100,13.94
214,Wasilla,AK,US,2023-03-02 01:28:03,61.5814,-149.4394,23.2,83,100,11.5
215,Carbondale,IL,US,2023-03-02 01:32:56,37.7273,-89.2168,61.09,62,0,5.75
216,La Grande,OR,US,2023-03-02 01:32:56,45.3246,-118.0877,33.03,89,97,2.66
217,Mason City,IA,US,2023-03-02 01:30:27,43.1536,-93.201,32.32,90,100,18.41
218,West Fargo,ND,US,2023-03-02 01:32:57,46.875,-96.9004,5.02,82,0,13.8
219,Huron,OH,US,2023-03-02 01:32:57,41.1501,-82.5499,54.66,81,100,4.76
220,Isla Vista,CA,US,2023-03-02 01:32:17,34.4133,-119.861,53.49,58,40,13.8
221,Petersburg,VA,US,2023-03-02 01:32:29,37.2279,-77.4019,52.68,90,0,0.0
222,Saint George,UT,US,2023-03-02 01:33:59,37.1041,-113.5841,43.39,75,0,5.75
223,Bend,OR,US,2023-03-02 01:29:10,44.0582,-121.3153,37.26,38,0,12.66
224,Lufkin,TX,US,2023-03-02 01:34:00,31.3382,-94.7291,75.83,76,100,9.17
225,Kendallville,IN,US,2023-03-02 01:34:00,41.4414,-85.265,51.49,74,0,4.61
226,Fayetteville,NC,US,2023-03-02 01:30:03,35.0527,-78.8784,67.59,75,0,3.44
227,Asheboro,NC,US,2023-03-02 01:34:01,35.7079,-79.8136,57.58,76,0,0.0
228,North Tonawanda,NY,US,2023-03-02 01:31:54,43.0387,-78.8642,40.26,81,40,4.61
229,Lander,WY,US,2023-03-02 01:34:01,42.833,-108.7307,18.41,71,0,3.44
230,Indian Head,MD,US,2023-03-02 01:34:01,38.6001,-77.1622,54.36,82,0,6.91
231,Cottage Grove,MN,US,2023-03-02 01:34:02,44.8277,-92.9438,30.49,83,100,17.27
232,Huntsville,AL,US,2023-03-02 01:30:00,34.7304,-86.5861,70.79,85,100,7.0
233,Benton,AR,US,2023-03-02 01:30:04,36.3334,-94.3335,57.11,56,0,4.61
234,Fernandina Beach,FL,US,2023-03-02 01:30:20,30.6697,-81.4626,75.97,85,0,10.36
235,Oakdale,MN,US,2023-03-02 01:33:29,44.963,-92.9649,28.56,84,100,17.27
236,Altus,OK,US,2023-03-02 01:29:12,34.6381,-99.334,56.71,47,0,8.05
237,West Odessa,TX,US,2023-03-02 01:34:06,31.8424,-102.4988,70.05,21,100,11.61
238,Garden City,MI,US,2023-03-02 01:31:08,42.3256,-83.331,46.15,79,40,8.05
239,Canyon,TX,US,2023-03-02 01:34:01,34.9803,-101.9188,57.04,25,2,12.8
240,Bainbridge,WA,US,2023-03-02 01:30:06,47.6262,-122.5212,46.02,74,100,6.91
241,Lewiston,ME,US,2023-03-02 01:31:12,44.1003,-70.2148,34.14,79,100,6.91
242,Tehachapi,CA,US,2023-03-02 01:34:10,35.1322,-118.449,34.39,90,64,31.0
243,Big Rapids,MI,US,2023-03-02 01:29:36,43.6981,-85.4837,35.67,82,100,0.0
244,Key West,FL,US,2023-03-02 01:33:02,24.5557,-81.7826,77.0,69,0,15.01
245,Miami Beach,FL,US,2023-03-02 01:33:43,25.7906,-80.1301,77.0,70,0,6.91
246,Enid,OK,US,2023-03-02 01:34:13,36.3956,-97.8784,51.48,40,0,9.22
247,Bay Village,OH,US,2023-03-02 01:29:52,41.4848,-81.9221,53.31,79,75,4.61
248,Ormond Beach,FL,US,2023-03-02 01:32:38,29.2858,-81.0559,76.1,87,40,3.0
249,Troutdale,OR,US,2023-03-02 01:34:13,45.5393,-122.3873,45.19,71,100,4.0
250,Griffin,GA,US,2023-03-02 01:29:28,33.2468,-84.2641,71.8,83,75,3.44
251,Worthington,OH,US,2023-03-02 01:33:57,40.0931,-83.018,66.25,48,75,14.97
252,Whitefish,MT,US,2023-03-02 01:35:14,48.4111,-114.3376,30.2,81,100,4.61
253,Crestview,FL,US,2023-03-02 01:33:23,30.7621,-86.5705,72.68,91,40,10.36
254,Lebanon,TN,US,2023-03-02 01:32:28,36.2081,-86.2911,71.65,80,75,9.22
255,Morro Bay,CA,US,2023-03-02 01:35:16,35.3658,-120.8499,53.2,67,31,20.0
256,Yucaipa,CA,US,2023-03-02 01:35:17,34.0336,-117.0431,43.32,72,75,11.5
257,Chino Valley,AZ,US,2023-03-02 01:35:18,34.7575,-112.4538,35.11,93,100,0.0
258,Rathdrum,ID,US,2023-03-02 01:30:19,47.8137,-116.892,34.86,79,75,5.75
259,Morris,NJ,US,2023-03-02 01:34:12,40.8334,-74.5329,40.6,84,100,5.75
260,Natchez,MS,US,2023-03-02 01:35:19,31.5604,-91.4032,77.22,63,40,11.5
261,Gillette,WY,US,2023-03-02 01:35:20,44.2911,-105.5022,27.52,81,0,16.11
262,Escanaba,MI,US,2023-03-02 01:35:20,45.7453,-87.0646,34.11,92,100,5.75
263,Pensacola,FL,US,2023-03-02 01:35:21,30.4213,-87.2169,73.31,92,40,11.5
264,Atlantic Beach,FL,US,2023-03-02 01:33:52,30.3344,-81.3987,77.05,81,20,9.22
265,Laplace,LA,US,2023-03-02 01:35:23,30.0666,-90.4801,77.99,83,100,13.8
266,Virden,IL,US,2023-03-02 01:35:23,39.5009,-89.7679,54.05,73,100,6.64
267,Bay City,MI,US,2023-03-02 01:35:23,43.5945,-83.8889,37.72,89,100,9.22
268,Taylorville,IL,US,2023-03-02 01:35:24,39.5489,-89.2945,53.78,76,0,6.91
269,Rancho Palos Verdes,CA,US,2023-03-02 01:34:41,33.7445,-118.387,54.55,52,20,20.71
270,Pontiac,MI,US,2023-03-02 01:31:27,42.6389,-83.2911,44.94,79,75,6.91
271,South Lake Tahoe,CA,US,2023-03-02 01:34:07,38.9332,-119.9844,24.26,76,75,6.91
272,Rohnert Park,CA,US,2023-03-02 01:35:26,38.3396,-122.7011,55.08,36,0,8.05
273,Seminole,FL,US,2023-03-02 01:35:27,28.7086,-81.2081,79.16,73,75,3.44
274,Clinton,MI,US,2023-03-02 01:33:45,42.587,-82.9199,45.21,78,40,9.22
275,Williston,ND,US,2023-03-02 01:35:28,48.147,-103.618,15.04,68,100,3.0
276,Gadsden,AL,US,2023-03-02 01:32:39,34.0143,-86.0066,73.63,83,20,4.61
277,Portland,OR,US,2023-03-02 01:34:15,45.5234,-122.6762,45.81,69,75,5.75
278,Indianola,IA,US,2023-03-02 01:35:29,41.3581,-93.5574,37.89,72,85,5.01
279,Marshall,AL,US,2023-03-02 01:34:19,34.3834,-86.3333,71.42,83,100,6.55
280,Nanakuli,HI,US,2023-03-02 01:35:31,21.3906,-158.1547,78.75,62,20,18.41
281,Fort Morgan,CO,US,2023-03-02 01:31:37,40.2503,-103.8,34.27,74,100,16.11
282,Wenatchee,WA,US,2023-03-02 01:35:31,47.4235,-120.3103,43.18,41,100,8.05
283,Brattleboro,VT,US,2023-03-02 01:35:32,42.8509,-72.5579,36.09,91,100,1.01
284,Port Jervis,NY,US,2023-03-02 01:34:18,41.3751,-74.6927,38.82,84,66,3.78
